ID,Case Name,Case Number,Country of Prosecution,Court,Date,Year,Country of Commission,Crimes Charged,Jurisdictional Basis,Jurisdiction Type,Outcome,Outcome Type,Corporate Defendant,Original Language,Specialized Unit,Summary,Key Legal Findings,Decision Link,NGOs,Victims Organizations,Legal Representatives,TRIAL International,UJAR,CFJ Tool,Amnesty,Judicial Decisions Count,Additional Sources
belgium-guatemala,Manuel Benedicto Lucas García & Others (Guatemala),N/A,Belgium,Brussels Assize Court,2023-11-01,2023,Guatemala,Crimes against humanity; Murder,Passive personality / Universal jurisdiction,criminal,Conviction — five former officials,conviction,No,French,,"Five former Guatemalan ministers and high-ranking military officials were convicted by a Belgian court for crimes against humanity committed over 40 years ago against Belgian missionaries in Guatemala. The case included former Chief of Staff Manuel Benedicto Lucas García. The conviction came more than four decades after the crimes, demonstrating that there is no statute of limitations for crimes against humanity.",No statute of limitations for CAH | Passive personality — Belgian victims | 40-year accountability gap closed,,FIDH (https://www.fidh.org),,,,,,,0,
belgium-iraq-alqaeda,O.Y.T. (Al-Qaeda — Iraq),N/A,Belgium,Belgian courts,2023-01-01,2023,Iraq,War crimes; Crimes against humanity,Universal jurisdiction,criminal,Detained — investigation ongoing,ongoing,No,French,,Iraqi national detained in Belgium over alleged Al-Qaeda war crimes and crimes against humanity committed in Baghdad in 2009-2010. The case reflects Belgium's continued willingness to investigate and prosecute international crimes committed in Iraq.,Universal jurisdiction — Iraqi crimes | Al-Qaeda accountability,,,,,,,,,0,
belgium-rwanda-gakwaya,Ernest Gakwaya & Emmanuel Nkunduwimye (Rwanda),N/A,Belgium,Belgian Assize Court,2023-01-01,2023,Rwanda,Genocide; War crimes,Universal jurisdiction,criminal,Trial date set,ongoing,No,French,,Trial date set for two alleged former Interahamwe members charged with genocide and war crimes during the 1994 Rwandan genocide. Belgium has been one of the most active jurisdictions in prosecuting Rwandan genocide suspects.,Rwandan genocide prosecution | Belgian UJ practice,,,,,,,,,0,
belgium-rwanda-basabose,Pierre Basabosé & Séraphin Twahirwa (Rwanda),N/A,Belgium,Brussels Assize Court,2023-06-01,2023,Rwanda,Genocide; War crimes; Sexual violence,Universal jurisdiction,criminal,Convicted,conviction,No,French,,"Two Rwandan nationals convicted on genocide and war crimes charges, including sexual violence, for crimes committed during the 1994 Rwandan genocide. The inclusion of sexual violence charges was significant for gender justice in universal jurisdiction proceedings.",Genocide conviction | Sexual violence charges in UJ | Gender justice,,,,,,,,,2,
belgium-isis-palmyra,ISIS Member — Palmyra (Belgium),N/A,Belgium,Belgian courts,2023-01-01,2023,Syria,War crimes,Universal jurisdiction,criminal,Investigation ongoing,ongoing,No,French,,"Investigation of an alleged former member of ISIS for war crimes committed in Palmyra, Syria. Belgium has opened several investigations into ISIS-related international crimes under universal jurisdiction.",ISIS war crimes in Palmyra | Belgian structural investigation,,,,,,,,,0,
finland-massaquoi,Gibril Massaquoi (Sierra Leone / Liberia),N/A,Finland,Pirkanmaa District Court / Court of Appeal,2023-05-01,2023,Liberia,War crimes; Crimes against humanity; Murder; Sexual violence,Universal jurisdiction,criminal,Acquitted on appeal,acquittal,No,Finnish,,"Former Sierra Leonean rebel commander Gibril Massaquoi was acquitted of war crimes and crimes against humanity on appeal by a Finnish court. He had been charged with crimes committed in Liberia during 2001-2002. Finland conducted unprecedented investigative missions to Liberia and Sierra Leone, but the appellate court found insufficient evidence. The case tested Finland's capacity for complex UJ investigations in West Africa.",Investigative missions abroad | Evidence challenges in UJ | Finnish UJ capacity,,Civitas Maxima (https://www.civitas-maxima.org),,,,,,,0,
france-lumbala-drc,Roger Lumbala Tshitenga (DRC),N/A,France,Paris Cour d'assises,2025-12-15,2025,Democratic Republic of the Congo,Complicity in crimes against humanity; Torture; Rape; Sexual slavery; Forced labour; Summary executions; Pillage,Universal jurisdiction,criminal,30 years imprisonment,conviction,No,French,OCLCH,"Former Congolese rebel leader Roger Lumbala was sentenced to 30 years for complicity in crimes against humanity committed during Operation 'Erase the Slate' in 2002-2003 in northeast DRC. As leader of the RCD-N rebel group (backed by Uganda), Lumbala's forces carried out systematic torture, mass rape, sexual slavery, forced labour, summary executions, and pillage targeting Nande and Bambuti Pygmy communities in Ituri province. First Congolese national tried before a national court in connection with the Second Congo War. Lumbala was arrested in France in January 2021 under universal jurisdiction.",First national court trial for Second Congo War crimes | Rebel commander complicity | Sexual violence as weapon of war | Universal jurisdiction — France,,FIDH (https://www.fidh.org); TRIAL International (https://trialinternational.org); Clooney Foundation for Justice (https://cfj.org),,,,,,,1,France 24 — Lumbala sentenced to 30 years: https://www.france24.com/en/africa/20251215-french-court-sentences-dr-congo-ex-rebel-chief-lumbala-30-years-in-prison | TRIAL International — Lumbala trial analysis: https://trialinternational.org/latest-post/review-of-the-roger-lumbala-trial-an-analysis-of-the-verdict-of-the-paris-cour-dassises/
france-nexa-egypt,Nexa Technologies (Egypt — Surveillance),N/A,France,Paris Judicial Court,2023-01-01,2023,Egypt,Complicity in torture; Complicity in enforced disappearance,Active personality,criminal,Investigation ongoing — key witness heard,ongoing,Yes,French,,"Investigation into French surveillance technology company Nexa Technologies (formerly Amesys) for the alleged sale of surveillance equipment to the Egyptian government, used to target political opponents. A key witness was heard in 2023 regarding the use of the technology. The case is part of a broader pattern of corporate accountability cases in France for the export of surveillance and dual-use technologies to authoritarian regimes.",Corporate complicity through technology export | Surveillance technology and human rights | Dual-use technology accountability,,FIDH (https://www.fidh.org); LDH (https://www.ldh-france.org),,,,,,,0,
france-amesys-libya,Amesys (Libya — Surveillance),N/A,France,Paris Judicial Court,2023-01-01,2023,Libya,Complicity in torture,Active personality,criminal,Investigation ongoing,ongoing,Yes,French,,"Investigative judges ordered to proceed with several investigative acts in the corporate accountability case against Amesys and two of its executives for selling surveillance technology to the Gaddafi regime in Libya, allegedly used to identify and torture political opponents. Together with the Nexa/Egypt case, it represents a frontier of corporate liability for dual-use technology exports.",Corporate complicity in Libyan torture | Technology export liability | Investigative acts ordered,,FIDH (https://www.fidh.org); LDH (https://www.ldh-france.org),,,,,,,0,
france-exxelia-gaza,Exxelia (Gaza — Military Attack),N/A,France,Paris Judicial Court,2023-01-01,2023,Palestine (Gaza),War crimes; Corporate complicity,Active personality / Universal jurisdiction,criminal,Investigation opened,ongoing,Yes,French,,"An unprecedented war crimes and corporate accountability case was opened against French company Exxelia for its alleged role in supplying components used in a military attack in Gaza. This is the first corporate accountability case specifically related to an Israeli military operation in the occupied Palestinian territories, linking European arms supply chains to alleged war crimes.",Corporate complicity in Gaza attack | Arms supply chain liability | First corporate case for Palestine crimes,,Sherpa (https://www.asso-sherpa.org),,,,,,,0,
france-rwamucyo-rwanda,Eugène Rwamucyo (Rwanda),N/A,France,Paris Assize Court,2024-10-30,2024,Rwanda,Complicity in genocide; Conspiracy to commit genocide; Complicity in crimes against humanity; Conspiracy to commit crimes against humanity,Universal jurisdiction,criminal,27 years imprisonment,conviction,No,French,OCLCH,"Eugène Rwamucyo, 65, a former doctor and lecturer at the National University of Rwanda in Butare, was sentenced to 27 years imprisonment by the Paris Assize Court on October 30, 2024. He was found guilty of complicity in genocide and participation in a conspiracy to prepare genocide, as well as complicity in crimes against humanity. He was acquitted of direct genocide and crimes against humanity charges. Rwamucyo supervised mass burials of Tutsi victims — some still alive — in the Butare prefecture, and publicly incited genocide through the 'Cercle des républicains'. He is the 8th Rwandan national tried in France for involvement in the 1994 genocide; all have been found guilty. His lawyers announced an appeal.",Medical professional complicity in genocide | Mass burial supervision as genocide facilitation | Conspiracy to commit genocide via public incitement | Distinction between direct genocide and complicity,,CPCR (https://www.collectifpartiescivilesrwanda.fr); Ibuka (https://ibuka.fr),CPCR; Ibuka,,,,,,1,CPCR — Eugène Rwamucyo: https://www.collectifpartiescivilesrwanda.fr/en/eugene-rwamucyo-genocide-trial-finally-set-to-begin-in-paris/ | Rwanda Justice for Genocide — Trial proceedings: https://rwandajustice4genocide.org.uk/eugene-rwamucyo/ | France 24 — Genocide survivors await trial: https://www.france24.com/en/video/20241002-rwandan-genocide-survivors-eagerly-awaiting-dr-rwamucyo-s-trial-in-france
france-hategekimana-rwanda,Philippe Hategekimana / Manier (Rwanda),N/A,France,Paris Assize Court (appeal),2024-12-17,2024,Rwanda,Genocide; Crimes against humanity,Universal jurisdiction,criminal,Life imprisonment — confirmed on appeal,conviction,No,French,OCLCH,"Former Rwandan gendarme Philippe Hategekimana, who lived in France under the alias 'Philippe Manier', was sentenced to life imprisonment for genocide and crimes against humanity. His appeal was dismissed on December 17, 2024, with the life sentence upheld. The court found he used his authority to set up roadblocks where Tutsis were stopped and murdered, led attacks against defenceless Tutsi civilians on hills including Nyaburare, and personally ordered the murder of Narcisse Nyagasaza, the bourgmestre of Ntyazo who tried to prevent the genocide. Known as 'Biguma', he was naturalised French in 2005 under a false identity and worked at the University of Rennes until the CPCR uncovered his past.",Life sentence for genocide — confirmed on appeal | False identity to evade justice | Gendarme authority in facilitating genocide | Roadblock killings | Murder of protective local official,,CPCR (https://www.collectifpartiescivilesrwanda.fr); Ibuka (https://ibuka.fr),CPCR; Ibuka,,,,,,2,CPCR — Hategekimana appeal: https://www.collectifpartiescivilesrwanda.fr/en/proces-en-appel-hategekimana-manier-alias-biguma/ | Rwanda Justice for Genocide — Daily trial report: https://rwandajustice4genocide.org.uk/wp-content/uploads/HATEGEKIMANA-daily-trial-report.pdf
